#
# The Tor Project
#
# URL: https://metrics.torproject.org/networksize.csv?start=2019-02-18&end=2019-05-19
#
date,relays,bridges
2019-02-18,6470,955
2019-02-19,6456,956
2019-02-20,6455,951
2019-02-21,6469,951
2019-02-22,6461,942
2019-02-23,6482,950
2019-02-24,6490,959
2019-02-25,6465,956
2019-02-26,6430,950
2019-02-27,6459,954
2019-02-28,6459,959
2019-03-01,6570,965
2019-03-02,6592,971
2019-03-03,6585,987
2019-03-04,6588,977
2019-03-05,6580,972
2019-03-06,6606,978
2019-03-07,6625,978
2019-03-08,6621,971
2019-03-09,6610,978
2019-03-10,6603,979
2019-03-11,6591,973
2019-03-12,6579,965
2019-03-13,6574,974
2019-03-14,6585,976
2019-03-15,6588,975
2019-03-16,6586,974
2019-03-17,6601,980
2019-03-18,6618,981
2019-03-19,6628,979
2019-03-20,6590,968
2019-03-21,6570,972
2019-03-22,6536,973
2019-03-23,6531,978
2019-03-24,6529,980
2019-03-25,6505,975
2019-03-26,6514,977
2019-03-27,6497,969
2019-03-28,6473,970
2019-03-29,6460,964
2019-03-30,6499,970
2019-03-31,6514,948
2019-04-01,6626,943
2019-04-02,6615,954
2019-04-03,6630,971
2019-04-04,6652,965
2019-04-05,6625,968
2019-04-06,6662,975
2019-04-07,6646,984
2019-04-08,6638,983
2019-04-09,6643,983
2019-04-10,6644,985
2019-04-11,6647,986
2019-04-12,6645,986
2019-04-13,6672,997
2019-04-14,6674,1005
2019-04-15,6669,995
2019-04-16,6662,989
2019-04-17,6640,984
2019-04-18,6650,979
2019-04-19,6655,981
2019-04-20,6658,986
2019-04-21,6645,989
2019-04-22,6638,994
2019-04-23,6645,987
2019-04-24,6640,988
2019-04-25,6601,983
2019-04-26,6588,990
2019-04-27,6588,1006
2019-04-28,6568,1010
2019-04-29,6561,1002
2019-04-30,6557,1001
2019-05-01,6672,1010
2019-05-02,6674,1002
2019-05-03,6655,1002
2019-05-04,6666,1006
2019-05-05,6659,1009
2019-05-06,6653,1011
2019-05-07,6638,1008
2019-05-08,6649,1023
2019-05-09,6652,1030
2019-05-10,6638,1036
2019-05-11,6642,1052
2019-05-12,6639,1055
2019-05-13,6627,1049
2019-05-14,6615,1039
2019-05-15,6629,1039
2019-05-16,6598,1037
2019-05-17,6571,1041
2019-05-18,6581,1045
