#
# The Tor Project
#
# URL: https://metrics.torproject.org/platforms.csv?start=2019-02-18&end=2019-05-19
#
date,bsd,linux,macos,other,windows
2019-02-18,382,5969,15,6,96
2019-02-19,381,5960,14,7,93
2019-02-20,381,5954,14,6,97
2019-02-21,382,5963,15,6,100
2019-02-22,382,5960,15,7,94
2019-02-23,384,5977,15,7,96
2019-02-24,383,5983,16,7,100
2019-02-25,379,5968,16,6,93
2019-02-26,387,5929,14,6,91
2019-02-27,385,5962,14,6,91
2019-02-28,383,5966,12,6,90
2019-03-01,384,6069,13,6,95
2019-03-02,385,6089,14,6,97
2019-03-03,388,6079,14,6,96
2019-03-04,389,6087,13,6,92
2019-03-05,391,6078,13,6,90
2019-03-06,397,6097,13,6,92
2019-03-07,398,6115,14,6,89
2019-03-08,398,6112,15,6,88
2019-03-09,396,6102,12,6,92
2019-03-10,396,6093,13,6,92
2019-03-11,399,6086,14,7,84
2019-03-12,400,6073,14,6,85
2019-03-13,401,6069,15,6,81
2019-03-14,400,6083,14,6,80
2019-03-15,397,6088,14,7,81
2019-03-16,395,6086,14,6,83
2019-03-17,401,6092,14,6,85
2019-03-18,398,6112,15,6,85
2019-03-19,397,6120,16,6,87
2019-03-20,392,6091,17,6,82
2019-03-21,394,6067,17,6,84
2019-03-22,395,6034,16,6,84
2019-03-23,389,6038,14,6,81
2019-03-24,386,6038,15,7,82
2019-03-25,384,6015,15,6,83
2019-03-26,383,6027,15,6,80
2019-03-27,385,6007,15,6,81
2019-03-28,386,5983,14,6,81
2019-03-29,383,5976,14,6,78
2019-03-30,384,6012,15,6,80
2019-03-31,383,6027,15,6,82
2019-04-01,385,6136,15,6,82
2019-04-02,380,6133,15,7,77
2019-04-03,385,6141,16,6,80
2019-04-04,385,6166,15,7,77
2019-04-05,388,6132,15,6,81
2019-04-06,402,6156,14,6,81
2019-04-07,406,6136,14,7,81
2019-04-08,418,6120,13,6,79
2019-04-09,408,6137,13,6,77
2019-04-10,411,6133,12,6,81
2019-04-11,412,6139,12,5,77
2019-04-12,411,6134,12,6,79
2019-04-13,412,6156,12,7,83
2019-04-14,409,6164,12,6,81
2019-04-15,407,6162,12,7,80
2019-04-16,403,6161,13,6,77
2019-04-17,400,6142,14,6,77
2019-04-18,399,6151,12,7,78
2019-04-19,406,6151,12,7,78
2019-04-20,407,6152,11,7,79
2019-04-21,405,6144,13,7,75
2019-04-22,404,6137,13,7,75
2019-04-23,404,6145,13,7,73
2019-04-24,403,6145,12,8,70
2019-04-25,397,6111,12,7,71
2019-04-26,396,6096,13,7,75
2019-04-27,399,6090,14,7,76
2019-04-28,395,6075,12,7,76
2019-04-29,395,6067,13,7,77
2019-04-30,400,6062,12,7,74
2019-05-01,404,6168,12,7,78
2019-05-02,406,6169,11,7,78
2019-05-03,404,6155,9,7,78
2019-05-04,406,6164,9,7,79
2019-05-05,405,6158,10,7,76
2019-05-06,404,6152,11,7,77
2019-05-07,400,6142,11,7,75
2019-05-08,399,6153,11,7,77
2019-05-09,404,6149,11,7,78
2019-05-10,405,6134,12,7,79
2019-05-11,404,6139,13,7,77
2019-05-12,404,6135,13,7,79
2019-05-13,404,6125,13,8,76
2019-05-14,410,6107,12,7,76
2019-05-15,433,6099,11,7,77
2019-05-16,431,6075,12,7,71
2019-05-17,429,6043,12,7,78
2019-05-18,432,6048,12,6,81
