#
# The Tor Project
#
# URL: https://metrics.torproject.org/versions.csv?start=2019-02-18&end=2019-05-19
#
date,version,relays
2019-02-18,0.2.4,150
2019-02-18,0.2.5,154
2019-02-18,0.2.6,19
2019-02-18,0.2.7,93
2019-02-18,0.2.8,20
2019-02-18,0.2.9,1126
2019-02-18,0.3.0,60
2019-02-18,0.3.1,77
2019-02-18,0.3.2,255
2019-02-18,0.3.3,498
2019-02-18,0.3.4,1683
2019-02-18,0.3.5,2160
2019-02-18,0.4.0,168
2019-02-18,Other,1
2019-02-19,0.2.4,151
2019-02-19,0.2.5,156
2019-02-19,0.2.6,18
2019-02-19,0.2.7,94
2019-02-19,0.2.8,21
2019-02-19,0.2.9,1127
2019-02-19,0.3.0,60
2019-02-19,0.3.1,75
2019-02-19,0.3.2,255
2019-02-19,0.3.3,492
2019-02-19,0.3.4,1667
2019-02-19,0.3.5,2162
2019-02-19,0.4.0,172
2019-02-19,Other,1
2019-02-20,0.2.4,153
2019-02-20,0.2.5,157
2019-02-20,0.2.6,18
2019-02-20,0.2.7,93
2019-02-20,0.2.8,21
2019-02-20,0.2.9,1126
2019-02-20,0.3.0,59
2019-02-20,0.3.1,74
2019-02-20,0.3.2,253
2019-02-20,0.3.3,487
2019-02-20,0.3.4,1658
2019-02-20,0.3.5,2173
2019-02-20,0.4.0,177
2019-02-20,0.4.1,1
2019-02-20,Other,1
2019-02-21,0.2.4,152
2019-02-21,0.2.5,158
2019-02-21,0.2.6,18
2019-02-21,0.2.7,89
2019-02-21,0.2.8,21
2019-02-21,0.2.9,1130
2019-02-21,0.3.0,60
2019-02-21,0.3.1,74
2019-02-21,0.3.2,252
2019-02-21,0.3.3,483
2019-02-21,0.3.4,1638
2019-02-21,0.3.5,2207
2019-02-21,0.4.0,178
2019-02-21,0.4.1,2
2019-02-21,Other,1
2019-02-22,0.2.4,151
2019-02-22,0.2.5,157
2019-02-22,0.2.6,19
2019-02-22,0.2.7,87
2019-02-22,0.2.8,22
2019-02-22,0.2.9,1125
2019-02-22,0.3.0,58
2019-02-22,0.3.1,72
2019-02-22,0.3.2,254
2019-02-22,0.3.3,475
2019-02-22,0.3.4,1621
2019-02-22,0.3.5,2231
2019-02-22,0.4.0,176
2019-02-22,0.4.1,3
2019-02-22,Other,1
2019-02-23,0.2.4,151
2019-02-23,0.2.5,157
2019-02-23,0.2.6,19
2019-02-23,0.2.7,87
2019-02-23,0.2.8,22
2019-02-23,0.2.9,1122
2019-02-23,0.3.0,59
2019-02-23,0.3.1,73
2019-02-23,0.3.2,252
2019-02-23,0.3.3,475
2019-02-23,0.3.4,1631
2019-02-23,0.3.5,2248
2019-02-23,0.4.0,176
2019-02-23,0.4.1,3
2019-02-23,Other,1
2019-02-24,0.2.4,147
2019-02-24,0.2.5,159
2019-02-24,0.2.6,19
2019-02-24,0.2.7,85
2019-02-24,0.2.8,22
2019-02-24,0.2.9,1121
2019-02-24,0.3.0,60
2019-02-24,0.3.1,73
2019-02-24,0.3.2,254
2019-02-24,0.3.3,475
2019-02-24,0.3.4,1616
2019-02-24,0.3.5,2275
2019-02-24,0.4.0,174
2019-02-24,0.4.1,3
2019-02-24,Other,1
2019-02-25,0.2.4,145
2019-02-25,0.2.5,157
2019-02-25,0.2.6,18
2019-02-25,0.2.7,87
2019-02-25,0.2.8,21
2019-02-25,0.2.9,1113
2019-02-25,0.3.0,59
2019-02-25,0.3.1,69
2019-02-25,0.3.2,254
2019-02-25,0.3.3,468
2019-02-25,0.3.4,1597
2019-02-25,0.3.5,2291
2019-02-25,0.4.0,174
2019-02-25,0.4.1,3
2019-02-25,Other,1
2019-02-26,0.2.4,147
2019-02-26,0.2.5,156
2019-02-26,0.2.6,18
2019-02-26,0.2.7,86
2019-02-26,0.2.8,21
2019-02-26,0.2.9,1109
2019-02-26,0.3.0,59
2019-02-26,0.3.1,69
2019-02-26,0.3.2,252
2019-02-26,0.3.3,460
2019-02-26,0.3.4,1556
2019-02-26,0.3.5,2306
2019-02-26,0.4.0,179
2019-02-26,0.4.1,4
2019-02-26,Other,1
2019-02-27,0.2.4,144
2019-02-27,0.2.5,155
2019-02-27,0.2.6,18
2019-02-27,0.2.7,84
2019-02-27,0.2.8,20
2019-02-27,0.2.9,1116
2019-02-27,0.3.0,60
2019-02-27,0.3.1,71
2019-02-27,0.3.2,254
2019-02-27,0.3.3,455
2019-02-27,0.3.4,1531
2019-02-27,0.3.5,2353
2019-02-27,0.4.0,186
2019-02-27,0.4.1,4
2019-02-27,Other,1
2019-02-28,0.2.4,142
2019-02-28,0.2.5,151
2019-02-28,0.2.6,18
2019-02-28,0.2.7,84
2019-02-28,0.2.8,21
2019-02-28,0.2.9,1115
2019-02-28,0.3.0,60
2019-02-28,0.3.1,75
