#
# The Tor Project
#
# URL: https://metrics.torproject.org/relayflags.csv?start=2019-02-18&end=2019-05-19&flag=Running&flag=Exit&flag=Fast&flag=Guard&flag=Stable
#
date,flag,relays
2019-02-18,Exit,841
2019-02-18,Fast,5711
2019-02-18,Guard,2803
2019-02-18,Running,6470
2019-02-18,Stable,5407
2019-02-19,Exit,842
2019-02-19,Fast,5700
2019-02-19,Guard,2807
2019-02-19,Running,6456
2019-02-19,Stable,5394
2019-02-20,Exit,839
2019-02-20,Fast,5626
2019-02-20,Guard,2764
2019-02-20,Running,6455
2019-02-20,Stable,5384
2019-02-21,Exit,852
2019-02-21,Fast,5616
2019-02-21,Guard,2759
2019-02-21,Running,6469
2019-02-21,Stable,5389
2019-02-22,Exit,844
2019-02-22,Fast,5598
2019-02-22,Guard,2761
2019-02-22,Running,6461
2019-02-22,Stable,5394
2019-02-23,Exit,839
2019-02-23,Fast,5624
2019-02-23,Guard,2765
2019-02-23,Running,6482
2019-02-23,Stable,5409
2019-02-24,Exit,841
2019-02-24,Fast,5641
2019-02-24,Guard,2784
2019-02-24,Running,6490
2019-02-24,Stable,5418
2019-02-25,Exit,844
2019-02-25,Fast,5619
2019-02-25,Guard,2776
2019-02-25,Running,6465
2019-02-25,Stable,5395
2019-02-26,Exit,844
2019-02-26,Fast,5572
2019-02-26,Guard,2775
2019-02-26,Running,6430
2019-02-26,Stable,5368
2019-02-27,Exit,843
2019-02-27,Fast,5592
2019-02-27,Guard,2774
2019-02-27,Running,6459
2019-02-27,Stable,5380
2019-02-28,Exit,848
2019-02-28,Fast,5595
2019-02-28,Guard,2784
2019-02-28,Running,6459
2019-02-28,Stable,5371
2019-03-01,Exit,858
2019-03-01,Fast,5662
2019-03-01,Guard,2775
2019-03-01,Running,6570
2019-03-01,Stable,5392
2019-03-02,Exit,850
2019-03-02,Fast,5717
2019-03-02,Guard,2775
2019-03-02,Running,6592
2019-03-02,Stable,5402
2019-03-03,Exit,849
2019-03-03,Fast,5722
2019-03-03,Guard,2780
2019-03-03,Running,6585
2019-03-03,Stable,5409
2019-03-04,Exit,846
2019-03-04,Fast,5726
2019-03-04,Guard,2792
2019-03-04,Running,6588
2019-03-04,Stable,5456
2019-03-05,Exit,845
2019-03-05,Fast,5717
2019-03-05,Guard,2796
2019-03-05,Running,6580
2019-03-05,Stable,5475
2019-03-06,Exit,858
2019-03-06,Fast,5741
2019-03-06,Guard,2797
2019-03-06,Running,6606
2019-03-06,Stable,5502
2019-03-07,Exit,861
2019-03-07,Fast,5770
2019-03-07,Guard,2814
2019-03-07,Running,6625
2019-03-07,Stable,5510
2019-03-08,Exit,860
2019-03-08,Fast,5747
2019-03-08,Guard,2820
2019-03-08,Running,6621
2019-03-08,Stable,5498
2019-03-09,Exit,847
2019-03-09,Fast,5719
2019-03-09,Guard,2802
2019-03-09,Running,6610
2019-03-09,Stable,5497
2019-03-10,Exit,851
2019-03-10,Fast,5713
2019-03-10,Guard,2799
2019-03-10,Running,6603
2019-03-10,Stable,5496
2019-03-11,Exit,858
2019-03-11,Fast,5697
2019-03-11,Guard,2794
2019-03-11,Running,6591
2019-03-11,Stable,5500
2019-03-12,Exit,856
2019-03-12,Fast,5727
2019-03-12,Guard,2811
2019-03-12,Running,6579
2019-03-12,Stable,5514
2019-03-13,Exit,863
2019-03-13,Fast,5710
2019-03-13,Guard,2820
2019-03-13,Running,6574
2019-03-13,Stable,5508
2019-03-14,Exit,873
2019-03-14,Fast,5717
2019-03-14,Guard,2838
2019-03-14,Running,6585
2019-03-14,Stable,5509
2019-03-15,Exit,880
2019-03-15,Fast,5728
2019-03-15,Guard,2842
2019-03-15,Running,6588
2019-03-15,Stable,5503
2019-03-16,Exit,865
2019-03-16,Fast,5720
2019-03-16,Guard,2852
2019-03-16,Running,6586
2019-03-16,Stable,5494
2019-03-17,Exit,868
2019-03-17,Fast,5733
2019-03-17,Guard,2853
2019-03-17,Running,6601
2019-03-17,Stable,5492
2019-03-18,Exit,898
2019-03-18,Fast,5735
2019-03-18,Guard,2843
2019-03-18,Running,6618
2019-03-18,Stable,5496
2019-03-19,Exit,911
2019-03-19,Fast,5765
2019-03-19,Guard,2851
2019-03-19,Running,6628
2019-03-19,Stable,5499
2019-03-20,Exit,894
2019-03-20,Fast,5739
2019-03-20,Guard,2849
2019-03-20,Running,6590
2019-03-20,Stable,5486
2019-03-21,Exit,894
2019-03-21,Fast,5719
2019-03-21,Guard,2858
2019-03-21,Running,6570
2019-03-21,Stable,5486
2019-03-22,Exit,875
2019-03-22,Fast,5693
2019-03-22,Guard,2876
2019-03-22,Running,6536
2019-03-22,Stable,5486
2019-03-23,Exit,867
2019-03-23,Fast,5691
2019-03-23,Guard,2893
2019-03-23,Running,6531
2019-03-23,Stable,5485
2019-03-24,Exit,865
2019-03-24,Fast,5690
2019-03-24,Guard,2909
2019-03-24,Running,6529
2019-03-24,Stable,5480
2019-03-25,Exit,862
2019-03-25,Fast,5676
2019-03-25,Guard,2899
2019-03-25,Running,6505
2019-03-25,Stable,5491
2019-03-26,Exit,864
2019-03-26,Fast,5672
2019-03-26,Guard,2897
2019-03-26,Running,6514
2019-03-26,Stable,5493
2019-03-27,Exit,872
2019-03-27,Fast,5655
2019-03-27,Guard,2892
2019-03-27,Running,6497
2019-03-27,Stable,5470
2019-03-28,Exit,869
2019-03-28,Fast,5648
2019-03-28,Guard,2886
2019-03-28,Running,6473
2019-03-28,Stable,5462
2019-03-29,Exit,869
2019-03-29,Fast,5634
2019-03-29,Guard,2893
2019-03-29,Running,6460
2019-03-29,Stable,5452
2019-03-30,Exit,881
2019-03-30,Fast,5663
2019-03-30,Guard,2900
2019-03-30,Running,6499
2019-03-30,Stable,5442
2019-03-31,Exit,874
2019-03-31,Fast,5675
2019-03-31,Guard,2899
2019-03-31,Running,6514
2019-03-31,Stable,5451
2019-04-01,Exit,888
2019-04-01,Fast,5748
2019-04-01,Guard,2860
2019-04-01,Running,6626
2019-04-01,Stable,5481
2019-04-02,Exit,888
2019-04-02,Fast,5772
2019-04-02,Guard,2850
2019-04-02,Running,6615
2019-04-02,Stable,5486
2019-04-03,Exit,887
2019-04-03,Fast,5767
2019-04-03,Guard,2875
2019-04-03,Running,6630
2019-04-03,Stable,5506
2019-04-04,Exit,892
2019-04-04,Fast,5774
2019-04-04,Guard,2868
2019-04-04,Running,6652
2019-04-04,Stable,5523
2019-04-05,Exit,886
2019-04-05,Fast,5763
2019-04-05,Guard,2864
2019-04-05,Running,6625
2019-04-05,Stable,5546
2019-04-06,Exit,899
2019-04-06,Fast,5785
2019-04-06,Guard,2862
2019-04-06,Running,6662
2019-04-06,Stable,5586
2019-04-07,Exit,895
2019-04-07,Fast,5771
2019-04-07,Guard,2863
2019-04-07,Running,6646
2019-04-07,Stable,5581
2019-04-08,Exit,902
2019-04-08,Fast,5725
2019-04-08,Guard,2811
2019-04-08,Running,6638
2019-04-08,Stable,5564
2019-04-09,Exit,882
2019-04-09,Fast,5779
2019-04-09,Guard,2834
2019-04-09,Running,6643
2019-04-09,Stable,5575
2019-04-10,Exit,888
2019-04-10,Fast,5797
2019-04-10,Guard,2848
2019-04-10,Running,6644
2019-04-10,Stable,5568
2019-04-11,Exit,899
2019-04-11,Fast,5804
2019-04-11,Guard,2846
2019-04-11,Running,6647
2019-04-11,Stable,5556
2019-04-12,Exit,914
2019-04-12,Fast,5767
2019-04-12,Guard,2854
2019-04-12,Running,6645
2019-04-12,Stable,5550
2019-04-13,Exit,926
2019-04-13,Fast,5764
2019-04-13,Guard,2856
2019-04-13,Running,6672
2019-04-13,Stable,5538
2019-04-14,Exit,919
2019-04-14,Fast,5794
2019-04-14,Guard,2871
2019-04-14,Running,6674
2019-04-14,Stable,5540
2019-04-15,Exit,910
2019-04-15,Fast,5797
2019-04-15,Guard,2861
2019-04-15,Running,6669
2019-04-15,Stable,5558
2019-04-16,Exit,912
2019-04-16,Fast,5804
2019-04-16,Guard,2869
2019-04-16,Running,6662
2019-04-16,Stable,5577
2019-04-17,Exit,910
2019-04-17,Fast,5778
2019-04-17,Guard,2885
2019-04-17,Running,6640
2019-04-17,Stable,5567
2019-04-18,Exit,916
2019-04-18,Fast,5778
2019-04-18,Guard,2883
