#
# The Tor Project
#
# URL: https://metrics.torproject.org/totalcw.csv?start=2019-02-18&end=2019-05-19
#
date,nickname,totalcw
2019-02-18,Faravahar,61296899
2019-02-18,bastet,64060354
2019-02-18,longclaw,61878643
2019-02-18,maatuska,65864291
2019-02-18,moria1,67552831
2019-02-18,,64662528
2019-02-19,Faravahar,61747830
2019-02-19,bastet,65401260
2019-02-19,longclaw,61848960
2019-02-19,maatuska,66902803
2019-02-19,moria1,67766577
2019-02-19,,65447230
2019-02-20,Faravahar,61568763
2019-02-20,bastet,65744788
2019-02-20,gabelmoo,52333286
2019-02-20,longclaw,61243922
2019-02-20,maatuska,67434386
2019-02-20,moria1,68215362
2019-02-20,,64086816
2019-02-21,Faravahar,62211439
2019-02-21,bastet,65460626
2019-02-21,gabelmoo,68033538
2019-02-21,longclaw,61005787
2019-02-21,maatuska,68654509
2019-02-21,moria1,69026203
2019-02-21,,63433580
2019-02-22,Faravahar,62151838
2019-02-22,bastet,65328673
2019-02-22,gabelmoo,72228402
2019-02-22,longclaw,60795557
2019-02-22,maatuska,67516402
2019-02-22,moria1,68710142
2019-02-22,,62781177
2019-02-23,Faravahar,62474165
2019-02-23,bastet,65135345
2019-02-23,gabelmoo,74578366
2019-02-23,longclaw,60389413
2019-02-23,maatuska,68084216
2019-02-23,moria1,69202914
2019-02-23,,63759024
2019-02-24,Faravahar,63256115
2019-02-24,bastet,65780410
2019-02-24,gabelmoo,77207445
2019-02-24,longclaw,60750068
2019-02-24,maatuska,68662003
2019-02-24,moria1,70157730
2019-02-24,,63586205
2019-02-25,Faravahar,63566975
2019-02-25,bastet,66137562
2019-02-25,gabelmoo,79082784
2019-02-25,longclaw,62094117
2019-02-25,maatuska,69754322
2019-02-25,moria1,70568622
2019-02-25,,64367901
2019-02-26,Faravahar,64257956
2019-02-26,bastet,67102254
2019-02-26,gabelmoo,81568761
2019-02-26,longclaw,62575534
2019-02-26,maatuska,70361702
2019-02-26,moria1,71654634
2019-02-26,,65152324
2019-02-27,Faravahar,64703398
2019-02-27,bastet,67229015
2019-02-27,gabelmoo,81674418
2019-02-27,longclaw,62867889
2019-02-27,maatuska,71098566
2019-02-27,moria1,72196511
2019-02-27,,65747509
2019-02-28,Faravahar,64381612
2019-02-28,bastet,66898698
2019-02-28,gabelmoo,81213885
2019-02-28,longclaw,63466916
2019-02-28,maatuska,70239899
2019-02-28,moria1,71958823
2019-02-28,,65450047
2019-03-01,Faravahar,65496166
2019-03-01,bastet,68164032
2019-03-01,gabelmoo,81630721
2019-03-01,longclaw,63604775
2019-03-01,maatuska,71091175
2019-03-01,moria1,72319987
2019-03-01,,66255054
2019-03-02,Faravahar,64648844
2019-03-02,bastet,66596685
2019-03-02,gabelmoo,81075507
2019-03-02,longclaw,63775942
2019-03-02,maatuska,69392109
2019-03-02,moria1,70704900
2019-03-02,,64907689
2019-03-03,Faravahar,64836056
2019-03-03,bastet,67400366
2019-03-03,gabelmoo,80807718
2019-03-03,longclaw,64575381
2019-03-03,maatuska,70510640
2019-03-03,moria1,70632288
2019-03-03,,65350018
2019-03-04,Faravahar,65482859
2019-03-04,bastet,68318768
2019-03-04,gabelmoo,82558629
2019-03-04,longclaw,65319928
2019-03-04,maatuska,71969599
2019-03-04,moria1,71592490
2019-03-04,,66219535
2019-03-05,Faravahar,66379761
2019-03-05,bastet,68703446
2019-03-05,gabelmoo,84062463
2019-03-05,longclaw,65611582
2019-03-05,maatuska,72261452
2019-03-05,moria1,72798412
2019-03-05,,66864980
2019-03-06,Faravahar,66714926
2019-03-06,bastet,69687332
2019-03-06,gabelmoo,86842446
2019-03-06,longclaw,65978690
2019-03-06,maatuska,72786421
2019-03-06,moria1,74005429
2019-03-06,,68195518
2019-03-07,Faravahar,67483198
2019-03-07,bastet,70046752
2019-03-07,gabelmoo,86990001
2019-03-07,longclaw,65821883
2019-03-07,maatuska,70519105
2019-03-07,moria1,75009623
2019-03-07,,68365121
2019-03-08,Faravahar,67043703
2019-03-08,bastet,69884593
2019-03-08,gabelmoo,88117729
2019-03-08,longclaw,65698603
2019-03-08,maatuska,73293846
2019-03-08,moria1,75471610
2019-03-08,,68592034
2019-03-09,Faravahar,67042730
2019-03-09,bastet,20190223
2019-03-09,gabelmoo,87758454
2019-03-09,longclaw,65520504
2019-03-09,maatuska,73713363
2019-03-09,moria1,75614835
2019-03-09,,64953889
2019-03-10,Faravahar,65988166
2019-03-10,bastet,69028232
2019-03-10,gabelmoo,86842300
2019-03-10,longclaw,65224953
2019-03-10,maatuska,72517965
2019-03-10,moria1,74751318
2019-03-10,,67105758
2019-03-11,Faravahar,65968623
2019-03-11,bastet,69038443
2019-03-11,gabelmoo,87409769
2019-03-11,longclaw,65131832
2019-03-11,maatuska,71806363
2019-03-11,moria1,74203870
2019-03-11,,66947232
2019-03-12,Faravahar,66244847
2019-03-12,bastet,67991614
2019-03-12,gabelmoo,87536594
2019-03-12,longclaw,65054000
2019-03-12,maatuska,72077448
2019-03-12,moria1,73167636
2019-03-12,,67027465
2019-03-13,Faravahar,65653353
2019-03-13,bastet,68399035
2019-03-13,gabelmoo,86414072
2019-03-13,longclaw,64891243
2019-03-13,maatuska,71748258
2019-03-13,moria1,72902323
2019-03-13,,66827642
2019-03-14,Faravahar,66002574
2019-03-14,bastet,68694083
2019-03-14,gabelmoo,87625779
2019-03-14,longclaw,64667521
2019-03-14,maatuska,72065772
2019-03-14,moria1,73036330
2019-03-14,,67197548
2019-03-15,Faravahar,66604799
2019-03-15,bastet,69584712
2019-03-15,gabelmoo,88017791
2019-03-15,longclaw,64735552
2019-03-15,maatuska,72721446
2019-03-15,moria1,73594271
2019-03-15,,67608818
2019-03-16,Faravahar,66104371
2019-03-16,bastet,69169855
2019-03-16,gabelmoo,88089502
2019-03-16,longclaw,64586111
2019-03-16,maatuska,71847779
2019-03-16,moria1,73844857
2019-03-16,,67073906
2019-03-17,Faravahar,66451235
2019-03-17,bastet,68923505
2019-03-17,gabelmoo,88391686
2019-03-17,longclaw,64697730
2019-03-17,maatuska,71660929
2019-03-17,moria1,74237323
2019-03-17,,67352799
2019-03-18,Faravahar,66180640
2019-03-18,bastet,68896463
2019-03-18,gabelmoo,89318168
2019-03-18,longclaw,64286128
2019-03-18,maatuska,71931788
2019-03-18,moria1,73660082
2019-03-18,,67421123
2019-03-19,Faravahar,66858380
2019-03-19,bastet,68768515
2019-03-19,gabelmoo,90248188
2019-03-19,longclaw,63773412
2019-03-19,maatuska,71501645
2019-03-19,moria1,74686040
2019-03-19,,67453609
2019-03-20,Faravahar,65994271
2019-03-20,bastet,68146898
2019-03-20,gabelmoo,88620158
2019-03-20,maatuska,70984566
2019-03-20,moria1,73483855
2019-03-20,,68815844
2019-03-21,Faravahar,65837054
2019-03-21,bastet,68636370
2019-03-21,gabelmoo,87896573
2019-03-21,maatuska,71171164
2019-03-21,moria1,73448548
2019-03-21,,69160843
2019-03-22,Faravahar,65642728
2019-03-22,bastet,68626093
2019-03-22,gabelmoo,89011589
2019-03-22,longclaw,62328524
2019-03-22,maatuska,71536273
2019-03-22,moria1,74717594
2019-03-22,,66958337
2019-03-23,Faravahar,65849267
2019-03-23,bastet,69105790
2019-03-23,gabelmoo,90100708
2019-03-23,longclaw,63612219
2019-03-23,maatuska,72583460
2019-03-23,moria1,75183216
2019-03-23,,67500119
2019-03-24,Faravahar,66064999
2019-03-24,bastet,69007748
2019-03-24,gabelmoo,89632254
2019-03-24,longclaw,66154647
2019-03-24,maatuska,72674728
2019-03-24,moria1,75424760
2019-03-24,,67337905
2019-03-25,Faravahar,65762921
2019-03-25,bastet,68939133
2019-03-25,gabelmoo,88323591
2019-03-25,longclaw,66692207
2019-03-25,maatuska,71613902
2019-03-25,moria1,74556012
2019-03-25,,66758084
2019-03-26,Faravahar,65882734
2019-03-26,bastet,69146131
2019-03-26,gabelmoo,88791711
2019-03-26,longclaw,67399379
2019-03-26,maatuska,71210059
2019-03-26,moria1,74426756
2019-03-26,,67083674
2019-03-27,Faravahar,65959331
2019-03-27,bastet,68945560
2019-03-27,gabelmoo,86689200
2019-03-27,longclaw,67268520
2019-03-27,maatuska,70427247
2019-03-27,moria1,74951982
2019-03-27,,66975292
2019-03-28,Faravahar,65659577
2019-03-28,bastet,68884697
2019-03-28,gabelmoo,87363453
2019-03-28,longclaw,67694464
2019-03-28,maatuska,70813937
2019-03-28,moria1,75545336
2019-03-28,,67095296
2019-03-29,Faravahar,66070243
2019-03-29,bastet,68981834
2019-03-29,gabelmoo,87829879
2019-03-29,longclaw,67680907
2019-03-29,maatuska,71338651
2019-03-29,moria1,74960930
2019-03-29,,67199427
2019-03-30,Faravahar,66381621
2019-03-30,bastet,69412488
2019-03-30,gabelmoo,88586408
2019-03-30,longclaw,67968908
2019-03-30,maatuska,72254632
2019-03-30,moria1,77131987
2019-03-30,,67837088
2019-03-31,Faravahar,66222934
2019-03-31,bastet,69845908
2019-03-31,gabelmoo,90225890
2019-03-31,longclaw,68282330
2019-03-31,maatuska,73058348
2019-03-31,moria1,77560429
2019-03-31,,68162966
2019-04-01,Faravahar,67582997
2019-04-01,bastet,70660176
2019-04-01,gabelmoo,92479728
2019-04-01,maatuska,74140004
2019-04-01,moria1,79755030
2019-04-01,,72891670
2019-04-02,Faravahar,67343274
2019-04-02,bastet,70308839
2019-04-02,gabelmoo,91838601
2019-04-02,maatuska,74349448
2019-04-02,moria1,78031140
2019-04-02,,71437237
2019-04-03,Faravahar,68189363
2019-04-03,bastet,70883742
2019-04-03,gabelmoo,91595139
2019-04-03,longclaw,69198533
2019-04-03,maatuska,74121530
2019-04-03,moria1,77831173
2019-04-03,,69442365
2019-04-04,Faravahar,66542724
2019-04-04,bastet,71390447
2019-04-04,gabelmoo,93376124
2019-04-04,longclaw,69937905
2019-04-04,maatuska,74841561
2019-04-04,moria1,79219860
2019-04-04,,70950536
2019-04-05,Faravahar,67323365
2019-04-05,bastet,71381896
2019-04-05,gabelmoo,91294281
2019-04-05,longclaw,69886157
2019-04-05,maatuska,73641659
2019-04-05,moria1,78355262
2019-04-05,,69087288
2019-04-06,Faravahar,67574233
2019-04-06,bastet,72284651
2019-04-06,gabelmoo,89568488
2019-04-06,longclaw,70244541
2019-04-06,maatuska,73204028
2019-04-06,moria1,77990366
2019-04-06,,69058137
2019-04-07,Faravahar,67532133
2019-04-07,bastet,72459394
2019-04-07,gabelmoo,89189603
2019-04-07,longclaw,70235599
2019-04-07,maatuska,73982452
2019-04-07,moria1,78614393
2019-04-07,,69385016
2019-04-08,Faravahar,67833454
2019-04-08,gabelmoo,90169938
2019-04-08,longclaw,70616269
2019-04-08,maatuska,62623018
2019-04-08,moria1,79021954
2019-04-08,,72296394
2019-04-09,Faravahar,67408118
2019-04-09,bastet,72153178
2019-04-09,gabelmoo,90640563
2019-04-09,longclaw,70405260
2019-04-09,maatuska,54663087
2019-04-09,moria1,78025271
2019-04-09,,70675481
2019-04-10,Faravahar,67491398
2019-04-10,bastet,72425936
2019-04-10,gabelmoo,90912357
2019-04-10,longclaw,69436226
2019-04-10,maatuska,73997793
2019-04-10,moria1,78029610
2019-04-10,,69395427
2019-04-11,Faravahar,66986344
2019-04-11,bastet,71841273
2019-04-11,gabelmoo,91333932
2019-04-11,longclaw,65894672
2019-04-11,maatuska,73569039
2019-04-11,moria1,76497752
2019-04-11,,68295454
2019-04-12,Faravahar,67292515
2019-04-12,bastet,72067786
2019-04-12,gabelmoo,91969706
2019-04-12,longclaw,65047072
2019-04-12,maatuska,73851616
2019-04-12,moria1,74582319
2019-04-12,,68320729
2019-04-13,Faravahar,66297380
2019-04-13,bastet,71778085
2019-04-13,gabelmoo,90223258
2019-04-13,longclaw,64189242
2019-04-13,maatuska,73392086
2019-04-13,moria1,74192746
2019-04-13,,67696863
2019-04-14,Faravahar,66495351
2019-04-14,bastet,71458462
2019-04-14,gabelmoo,90168885
2019-04-14,longclaw,64196143
2019-04-14,maatuska,74135130
2019-04-14,moria1,74218510
2019-04-14,,67912525
2019-04-15,Faravahar,67776356
2019-04-15,bastet,71737504
2019-04-15,gabelmoo,91726288
2019-04-15,longclaw,65152807
2019-04-15,maatuska,74490063
2019-04-15,moria1,74077461
2019-04-15,,68632743
2019-04-16,Faravahar,68210456
2019-04-16,bastet,72590369
2019-04-16,gabelmoo,92408720
2019-04-16,longclaw,66215313
2019-04-16,maatuska,75101176
2019-04-16,moria1,76219643
2019-04-16,,68765472
2019-04-17,Faravahar,68575221
2019-04-17,bastet,73004281
2019-04-17,gabelmoo,91556044
2019-04-17,longclaw,66965067
2019-04-17,maatuska,75092423
2019-04-17,moria1,77770075
2019-04-17,,69422210
2019-04-18,Faravahar,68787791
2019-04-18,bastet,73429717
2019-04-18,gabelmoo,92851872
2019-04-18,longclaw,67604341
2019-04-18,maatuska,74980393
2019-04-18,moria1,77488098
2019-04-18,,69727947
2019-04-19,Faravahar,68657310
2019-04-19,bastet,73181658
2019-04-19,gabelmoo,94261324
2019-04-19,longclaw,67705426
2019-04-19,maatuska,76173089
2019-04-19,moria1,80174261
2019-04-19,,70200895
2019-04-20,Faravahar,68237732
2019-04-20,bastet,65525412
2019-04-20,gabelmoo,92688979
2019-04-20,longclaw,67847388
2019-04-20,maatuska,75738149
2019-04-20,moria1,78688269
2019-04-20,,70686717
2019-04-21,Faravahar,68272006
2019-04-21,bastet,73996920
2019-04-21,gabelmoo,92577216
2019-04-21,longclaw,67815116
2019-04-21,maatuska,76222170
2019-04-21,moria1,77423368
2019-04-21,,69796572
2019-04-22,Faravahar,68088366
2019-04-22,bastet,73869205
2019-04-22,gabelmoo,90976150
2019-04-22,longclaw,68055739
2019-04-22,maatuska,74453130
2019-04-22,moria1,77649663
2019-04-22,,69198165
2019-04-23,Faravahar,68869985
2019-04-23,bastet,74220734
2019-04-23,gabelmoo,92113462
2019-04-23,longclaw,68035131
2019-04-23,maatuska,75462636
2019-04-23,moria1,78023067
2019-04-23,,69762322
2019-04-24,Faravahar,69232252
2019-04-24,bastet,74536196
2019-04-24,gabelmoo,93539861
2019-04-24,longclaw,69125127
2019-04-24,maatuska,76212618
2019-04-24,moria1,78377243
2019-04-24,,70137536
2019-04-25,Faravahar,70168751
2019-04-25,bastet,74126638
2019-04-25,gabelmoo,96060466
2019-04-25,longclaw,69025326
2019-04-25,maatuska,74658024
2019-04-25,moria1,79540903
2019-04-25,,70202327
2019-04-26,Faravahar,70846421
2019-04-26,bastet,74254866
2019-04-26,gabelmoo,96498706
2019-04-26,longclaw,69714659
2019-04-26,maatuska,53699990
2019-04-26,moria1,80694173
2019-04-26,,72061500
2019-04-27,Faravahar,70327134
2019-04-27,bastet,74419816
2019-04-27,gabelmoo,95492727
2019-04-27,longclaw,69350359
2019-04-27,maatuska,77293919
2019-04-27,moria1,81193583
2019-04-27,,70807123
2019-04-28,Faravahar,70396252
2019-04-28,bastet,74540397
2019-04-28,gabelmoo,96035672
2019-04-28,longclaw,68851992
2019-04-28,maatuska,77756564
2019-04-28,moria1,80619597
2019-04-28,,70796055
2019-04-29,Faravahar,70183519
2019-04-29,bastet,74314909
2019-04-29,gabelmoo,95960181
2019-04-29,longclaw,68415143
2019-04-29,maatuska,77401998
2019-04-29,moria1,81212350
2019-04-29,,70550981
2019-04-30,Faravahar,70002672
2019-04-30,bastet,74040090
2019-04-30,gabelmoo,93534914
2019-04-30,longclaw,68237685
2019-04-30,maatuska,77176165
2019-04-30,moria1,80820250
2019-04-30,,70355711
2019-05-01,Faravahar,70672707
